Absorbance,Wavenumber
4.898306e+002,-6.919040e-003
4.903127e+002,-6.980702e-003
4.907949e+002,-7.039421e-003
4.912770e+002,-7.063643e-003
4.917591e+002,-7.033357e-003
4.922412e+002,-6.944150e-003
4.927233e+002,-6.808934e-003
4.932054e+002,-6.650378e-003
4.936876e+002,-6.496237e-003
4.941697e+002,-6.370580e-003
4.946518e+002,-6.294528e-003
4.951339e+002,-6.281007e-003
4.956160e+002,-6.333649e-003
4.960981e+002,-6.443452e-003
4.965803e+002,-6.586842e-003
4.970624e+002,-6.733546e-003
4.975445e+002,-6.850749e-003
4.980266e+002,-6.916758e-003
4.985087e+002,-6.927160e-003
4.989908e+002,-6.893604e-003
4.994730e+002,-6.834702e-003
4.999551e+002,-6.765908e-003
5.004372e+002,-6.690708e-003
5.009193e+002,-6.596633e-003
5.014014e+002,-6.464867e-003
5.018835e+002,-6.283750e-003
5.023657e+002,-6.062991e-003
5.028478e+002,-5.837542e-003
5.033299e+002,-5.654921e-003
5.038120e+002,-5.552771e-003
5.042941e+002,-5.547503e-003
5.047762e+002,-5.625616e-003
5.052584e+002,-5.751817e-003
5.057405e+002,-5.881608e-003
5.062226e+002,-5.981656e-003
5.067047e+002,-6.039399e-003
5.071868e+002,-6.067631e-003
5.076689e+002,-6.091646e-003
5.081511e+002,-6.134771e-003
5.086332e+002,-6.203176e-003
5.091153e+002,-6.284404e-003
5.095974e+002,-6.352490e-003
5.100795e+002,-6.383967e-003
5.105616e+002,-6.368751e-003
5.110438e+002,-6.314709e-003
5.115259e+002,-6.244036e-003
5.120080e+002,-6.181290e-003
5.124901e+002,-6.144278e-003
5.129722e+002,-6.136666e-003
5.134543e+002,-6.150191e-003
5.139365e+002,-6.170347e-003
5.144186e+002,-6.186059e-003
5.149007e+002,-6.191580e-003
5.153828e+002,-6.186843e-003
5.158649e+002,-6.174985e-003
5.163470e+002,-6.157639e-003
5.168292e+002,-6.135425e-003
5.173113e+002,-6.109550e-003
5.177934e+002,-6.082857e-003
5.182755e+002,-6.062043e-003
5.187576e+002,-6.052437e-003
5.192397e+002,-6.054169e-003
5.197219e+002,-6.059691e-003
5.202040e+002,-6.055835e-003
5.206861e+002,-6.029825e-003
5.211682e+002,-5.978094e-003
5.216503e+002,-5.909033e-003
5.221324e+002,-5.840812e-003
5.226146e+002,-5.792524e-003
5.230967e+002,-5.776961e-003
5.235788e+002,-5.791216e-003
5.240609e+002,-5.819006e-003
5.245430e+002,-5.835810e-003
5.250251e+002,-5.821458e-003
5.255073e+002,-5.772972e-003
5.259894e+002,-5.706070e-003
5.264715e+002,-5.645829e-003
5.269536e+002,-5.614757e-003
5.274357e+002,-5.618486e-003
5.279178e+002,-5.644390e-003
5.284000e+002,-5.670456e-003
5.288821e+002,-5.678501e-003
5.293642e+002,-5.664242e-003
5.298463e+002,-5.641610e-003
5.303284e+002,-5.634840e-003
5.308105e+002,-5.666237e-003
5.312927e+002,-5.744819e-003
5.317748e+002,-5.859707e-003
5.322569e+002,-5.983029e-003
5.327390e+002,-6.081158e-003
5.332211e+002,-6.128597e-003
5.337032e+002,-6.113471e-003
5.341854e+002,-6.040086e-003
5.346675e+002,-5.922304e-003
5.351496e+002,-5.776895e-003
5.356317e+002,-5.619206e-003
5.361138e+002,-5.461459e-003
5.365959e+002,-5.316747e-003
5.370781e+002,-5.200667e-003
5.375602e+002,-5.127685e-003
5.380423e+002,-5.107218e-003
5.385244e+002,-5.135118e-003
5.390065e+002,-5.192614e-003
5.394886e+002,-5.249971e-003
5.399708e+002,-5.282443e-003
5.404529e+002,-5.278646e-003
5.409350e+002,-5.249250e-003
5.414171e+002,-5.221588e-003
5.418992e+002,-5.227873e-003
5.423813e+002,-5.287877e-003
5.428635e+002,-5.397748e-003
5.433456e+002,-5.529772e-003
5.438277e+002,-5.645993e-003
5.443098e+002,-5.715324e-003
5.447919e+002,-5.726573e-003
5.452740e+002,-5.695441e-003
5.457562e+002,-5.656360e-003
5.462383e+002,-5.645797e-003
5.467204e+002,-5.683701e-003
5.472025e+002,-5.766531e-003
5.476846e+002,-5.869252e-003
5.481667e+002,-5.962015e-003
5.486489e+002,-6.021231e-003
5.491310e+002,-6.040837e-003
5.496131e+002,-6.031491e-003
5.500952e+002,-6.013061e-003
5.505773e+002,-6.002375e-003
5.510594e+002,-6.006362e-003
5.515416e+002,-6.021492e-003
5.520237e+002,-6.038746e-003
5.525058e+002,-6.050542e-003
5.529879e+002,-6.055541e-003
5.534700e+002,-6.057926e-003
5.539521e+002,-6.064723e-003
5.544343e+002,-6.080701e-003
5.549164e+002,-6.105924e-003
5.553985e+002,-6.137745e-003
5.558806e+002,-6.172862e-003
5.563627e+002,-6.209284e-003
5.568448e+002,-6.245833e-003
5.573270e+002,-6.279374e-003
5.578091e+002,-6.302725e-003
5.582912e+002,-6.306252e-003
5.587733e+002,-6.283293e-003
5.592554e+002,-6.235577e-003
5.597375e+002,-6.178350e-003
5.602197e+002,-6.135490e-003
5.607018e+002,-6.132060e-003
5.611839e+002,-6.182204e-003
5.616660e+002,-6.278917e-003
5.621481e+002,-6.393664e-003
5.626302e+002,-6.487913e-003
5.631124e+002,-6.528193e-003
5.635945e+002,-6.498816e-003
5.640766e+002,-6.408813e-003
5.645587e+002,-6.286004e-003
5.650408e+002,-6.164467e-003
5.655229e+002,-6.067729e-003
5.660051e+002,-6.002604e-003
5.664872e+002,-5.960152e-003
5.669693e+002,-5.927893e-003
5.674514e+002,-5.900208e-003
5.679335e+002,-5.886675e-003
5.684156e+002,-5.906941e-003
5.688978e+002,-5.980349e-003
5.693799e+002,-6.111085e-003
5.698620e+002,-6.282999e-003
5.703441e+002,-6.461048e-003
5.708262e+002,-6.609458e-003
5.713083e+002,-6.703302e-003
5.717905e+002,-6.738439e-003
5.722726e+002,-6.731197e-003
5.727547e+002,-6.708718e-003
5.732368e+002,-6.694623e-003
5.737189e+002,-6.699485e-003
5.742010e+002,-6.720169e-003
5.746832e+002,-6.744736e-003
5.751653e+002,-6.764179e-003
5.756474e+002,-6.777358e-003
5.761295e+002,-6.791711e-003
5.766116e+002,-6.815686e-003
5.770938e+002,-6.850097e-003
5.775759e+002,-6.882613e-003
5.780580e+002,-6.892201e-003
5.785401e+002,-6.858055e-003
5.790222e+002,-6.771095e-003
5.795043e+002,-6.641307e-003
5.799865e+002,-6.495062e-003
5.804686e+002,-6.363462e-003
5.809507e+002,-6.272581e-003
5.814328e+002,-6.230057e-003
5.819149e+002,-6.225387e-003
5.823970e+002,-6.237406e-003
5.828792e+002,-6.247727e-003
5.833613e+002,-6.247106e-003
5.838434e+002,-6.239921e-003
5.843255e+002,-6.237210e-003
5.848076e+002,-6.249622e-003
5.852897e+002,-6.281562e-003
5.857719e+002,-6.329176e-003
5.862540e+002,-6.384423e-003
5.867361e+002,-6.441950e-003
5.872182e+002,-6.500807e-003
5.877003e+002,-6.564617e-003
5.881824e+002,-6.636053e-003
5.886646e+002,-6.711622e-003
5.891467e+002,-6.779315e-003
5.896288e+002,-6.823906e-003
5.901109e+002,-6.831962e-003
5.905930e+002,-6.800322e-003
5.910751e+002,-6.738211e-003
5.915573e+002,-6.664768e-003
5.920394e+002,-6.600353e-003
5.925215e+002,-6.556719e-003
5.930036e+002,-6.534133e-003
5.934857e+002,-6.523884e-003
5.939678e+002,-6.517258e-003
5.944500e+002,-6.511774e-003
5.949321e+002,-6.515039e-003
5.954142e+002,-6.540465e-003
5.958963e+002,-6.599798e-003
5.963784e+002,-6.694851e-003
5.968605e+002,-6.814218e-003
5.973427e+002,-6.935508e-003
5.978248e+002,-7.035411e-003
5.983069e+002,-7.096535e-003
5.987890e+002,-7.113941e-003
5.992711e+002,-7.095361e-003
5.997532e+002,-7.056993e-003
6.002354e+002,-7.016404e-003
6.007175e+002,-6.986604e-003
6.011996e+002,-6.975746e-003
6.016817e+002,-6.986767e-003
6.021638e+002,-7.020643e-003
6.026459e+002,-7.077433e-003
6.031281e+002,-7.154684e-003
6.036102e+002,-7.245739e-003
6.040923e+002,-7.338598e-003
6.045744e+002,-7.419223e-003
6.050565e+002,-7.475049e-003
6.055386e+002,-7.500355e-003
6.060208e+002,-7.497814e-003
6.065029e+002,-7.477231e-003
6.069850e+002,-7.449417e-003
6.074671e+002,-7.420331e-003
6.079492e+002,-7.390167e-003
6.084313e+002,-7.354236e-003
6.089135e+002,-7.308527e-003
6.093956e+002,-7.255449e-003
6.098777e+002,-7.205199e-003
6.103598e+002,-7.172870e-003
6.108419e+002,-7.171860e-003
6.113240e+002,-7.205884e-003
6.118062e+002,-7.266104e-003
6.122883e+002,-7.334232e-003
6.127704e+002,-7.390005e-003
6.132525e+002,-7.418409e-003
6.137346e+002,-7.415933e-003
6.142167e+002,-7.389027e-003
6.146989e+002,-7.349935e-003
6.151810e+002,-7.309569e-003
6.156631e+002,-7.273370e-003
6.161452e+002,-7.241665e-003
6.166273e+002,-7.213607e-003
6.171094e+002,-7.190860e-003
6.175916e+002,-7.179486e-003
6.180737e+002,-7.186624e-003
6.185558e+002,-7.216573e-003
6.190379e+002,-7.266104e-003
6.195200e+002,-7.326218e-003
6.200021e+002,-7.384825e-003
6.204843e+002,-7.434499e-003
6.209664e+002,-7.477036e-003
6.214485e+002,-7.521653e-003
6.219306e+002,-7.579517e-003
6.224127e+002,-7.656061e-003
6.228948e+002,-7.744797e-003
6.233770e+002,-7.829349e-003
6.238591e+002,-7.888897e-003
6.243412e+002,-7.908419e-003
6.248233e+002,-7.885839e-003
6.253054e+002,-7.833710e-003
6.257875e+002,-7.770704e-003
6.262697e+002,-7.711466e-003
6.267518e+002,-7.659739e-003
6.272339e+002,-7.605825e-003
6.277160e+002,-7.535558e-003
6.281981e+002,-7.439385e-003
6.286802e+002,-7.321559e-003
6.291624e+002,-7.201028e-003
6.296445e+002,-7.104749e-003
6.301266e+002,-7.053342e-003
6.306087e+002,-7.053863e-003
6.310908e+002,-7.095361e-003
6.315729e+002,-7.156476e-003
6.320551e+002,-7.214781e-003
6.325372e+002,-7.259033e-003
6.330193e+002,-7.291877e-003
6.335014e+002,-7.325566e-003
6.339835e+002,-7.371632e-003
6.344656e+002,-7.430819e-003
6.349478e+002,-7.489998e-003
6.354299e+002,-7.528849e-003
6.359120e+002,-7.529045e-003
6.363941e+002,-7.485829e-003
6.368762e+002,-7.409810e-003
6.373583e+002,-7.322732e-003
6.378405e+002,-7.246749e-003
6.383226e+002,-7.192946e-003
6.388047e+002,-7.159182e-003
6.392868e+002,-7.134183e-003
6.397689e+002,-7.106575e-003
6.402510e+002,-7.073293e-003
6.407332e+002,-7.042812e-003
6.412153e+002,-7.029608e-003
6.416974e+002,-7.044474e-003
6.421795e+002,-7.085876e-003
6.426616e+002,-7.137279e-003
6.431437e+002,-7.174304e-003
6.436259e+002,-7.176390e-003
6.441080e+002,-7.135943e-003
6.445901e+002,-7.064034e-003
6.450722e+002,-6.983800e-003
6.455543e+002,-6.921682e-003
6.460364e+002,-6.894223e-003
6.465186e+002,-6.902898e-003
6.470007e+002,-6.935606e-003
6.474828e+002,-6.975746e-003
6.479649e+002,-7.009720e-003
6.484470e+002,-7.032509e-003
6.489291e+002,-7.046659e-003
6.494113e+002,-7.057319e-003
6.498934e+002,-7.066121e-003
6.503755e+002,-7.070000e-003
6.508576e+002,-7.063480e-003
6.513397e+002,-7.044181e-003
6.518218e+002,-7.016600e-003
6.523040e+002,-6.991234e-003
6.527861e+002,-6.977996e-003
6.532682e+002,-6.980898e-003
6.537503e+002,-6.994136e-003
6.542324e+002,-7.004993e-003
6.547145e+002,-7.000982e-003
6.551967e+002,-6.977605e-003
6.556788e+002,-6.940954e-003
6.561609e+002,-6.905898e-003
6.566431e+002,-6.885613e-003
6.571251e+002,-6.882809e-003
6.576073e+002,-6.886788e-003
6.580894e+002,-6.878471e-003
6.585715e+002,-6.840867e-003
6.590536e+002,-6.770247e-003
6.595358e+002,-6.679386e-003
6.600178e+002,-6.592423e-003
6.605000e+002,-6.533089e-003
6.609821e+002,-6.510665e-003
6.614642e+002,-6.516018e-003
6.619463e+002,-6.527442e-003
6.624285e+002,-6.525255e-003
6.629105e+002,-6.502863e-003
6.633927e+002,-6.474138e-003
6.638748e+002,-6.463398e-003
6.643569e+002,-6.494050e-003
6.648390e+002,-6.571503e-003
6.653212e+002,-6.676189e-003
6.658032e+002,-6.758372e-003
6.662854e+002,-6.749303e-003
6.667675e+002,-6.577019e-003
6.672496e+002,-6.209545e-003
6.677317e+002,-5.703879e-003
6.682139e+002,-5.213305e-003
